Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdi32.dll

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    55A5AF62 time date stamp Wed Jul 15 08:54:58 2015
        0.00 version
        1000 ordinal base
        1001 number of functions
         861 number of names

    ordinal hint RVA      name

       1011    0 00086090 AbortDoc
       1012    1 000888F0 AbortPath
       1015    2 000784B0 AddFontMemResourceEx
       1016    3 00078500 AddFontResourceA
       1017    4 00078510 AddFontResourceExA
       1018    5 00078660 AddFontResourceExW
       1019    6 00078690 AddFontResourceTracking
       1020    7 00078830 AddFontResourceW
       1021    8 00086210 AngleArc
       1022    9 000887E0 AnimatePalette
       1023    A 000788C0 AnyLinkedFonts
       1024    B 00086330 Arc
       1025    C 000864E0 ArcTo
       1026    D 0004EC30 BRUSHOBJ_hGetColorTransform
       1027    E 0004EC40 BRUSHOBJ_pvAllocRbrush
       1028    F 0004EC50 BRUSHOBJ_pvGetRbrush
       1029   10 0004EC60 BRUSHOBJ_ulGetBrushColor
       1030   11 0004EC70 BeginGdiRendering
       1031   12 000440E0 BeginPath
       1032   13 0003F3F0 BitBlt
       1033   14 0004EC80 CLIPOBJ_bEnum
       1034   15 0004EC90 CLIPOBJ_cEnumStart
       1035   16 0004ECA0 CLIPOBJ_ppoGetPath
       1036   17 0004C0C0 CancelDC
       1037   18 0007A440 CheckColorsInGamut
       1038   19 00088C70 ChoosePixelFormat
       1039   1A 00086650 Chord
       1040   1B 0004C3A0 ClearBitmapAttributes
       1041   1C 00073870 ClearBrushAttributes
       1042   1D 0000A7A0 CloseEnhMetaFile
       1043   1E 0004BA00 CloseFigure
       1044   1F 00083060 CloseMetaFile
       1045   20 0007A660 ColorCorrectPalette
       1046   21 0007A900 ColorMatchToTarget
       1047   22 0003DA40 CombineRgn
       1048   23 00073A50 CombineTransform
       1049   24 0004ED10 ConfigureOPMProtectedOutput
       1050   25 0008E770 CopyEnhMetaFileA
       1051   26 0008E840 CopyEnhMetaFileW
       1052   27 00083260 CopyMetaFileA
       1053   28 00083330 CopyMetaFileW
       1054   29 00042140 CreateBitmap
       1055   2A 0004ED30 CreateBitmapFromDxSurface
       1056   2B 0004ED40 CreateBitmapFromDxSurface2
       1057   2C 00073890 CreateBitmapIndirect
       1058   2D 0003E430 CreateBrushIndirect
       1059   2E 0007AB80 CreateColorSpaceA
       1060   2F 0007AF10 CreateColorSpaceW
       1061   30 00028590 CreateCompatibleBitmap
       1062   31 0003F7D0 CreateCompatibleDC
       1063   32 00040380 CreateDCA
       1064   33 00040240 CreateDCW
       1065   34 00085810 CreateDIBPatternBrush
       1066   35 00085860 CreateDIBPatternBrushPt
       1067   36 0001DA50 CreateDIBSection
       1068   37 0001BAA0 CreateDIBitmap
       1069   38 00085890 CreateDiscardableBitmap
       1070   39 000858A0 CreateEllipticRgn
       1071   3A 000858B0 CreateEllipticRgnIndirect
       1072   3B 000093E0 CreateEnhMetaFileA
       1073   3C 00009480 CreateEnhMetaFileW
       1074   3D 00043B30 CreateFontA
       1075   3E 00043C10 CreateFontIndirectA
