Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdiplus.dll

File Type: DLL

  Section contains the following exports for gdiplus.dll

    00000000 characteristics
    403E3D73 time date stamp Fri Feb 27 02:39:47 2004
        0.00 version
           1 ordinal base
         609 number of functions
         609 number of names

    ordinal hint RVA      name

          1    0 00096522 GdipAddPathArc
          2    1 000965D7 GdipAddPathArcI
          3    2 0000DE89 GdipAddPathBezier
          4    3 0000DF2A GdipAddPathBezierI
          5    4 00015750 GdipAddPathBeziers
          6    5 00018F3F GdipAddPathBeziersI
          9    6 0000CDAE GdipAddPathClosedCurve
          7    7 00096AD1 GdipAddPathClosedCurve2
          8    8 00096B81 GdipAddPathClosedCurve2I
         10    9 00096A3E GdipAddPathClosedCurveI
         15    A 00096627 GdipAddPathCurve
         11    B 00096777 GdipAddPathCurve2
         12    C 00096832 GdipAddPathCurve2I
         13    D 000968E4 GdipAddPathCurve3
         14    E 0009699E GdipAddPathCurve3I
         16    F 000966CC GdipAddPathCurveI
         17   10 00029188 GdipAddPathEllipse
         18   11 0002921A GdipAddPathEllipseI
         21   12 0000F616 GdipAddPathLine
         19   13 000156CF GdipAddPathLine2
         20   14 00017AE3 GdipAddPathLine2I
         22   15 0000F69B GdipAddPathLineI
         23   16 00029985 GdipAddPathPath
         24   17 00096DA2 GdipAddPathPie
         25   18 00096E57 GdipAddPathPieI
         26   19 0001BED3 GdipAddPathPolygon
         27   1A 00019437 GdipAddPathPolygonI
         28   1B 00018896 GdipAddPathRectangle
         29   1C 00096C1B GdipAddPathRectangleI
         30   1D 00096C5D GdipAddPathRectangles
         31   1E 00096D02 GdipAddPathRectanglesI
         32   1F 0001FA51 GdipAddPathString
         33   20 00096EA7 GdipAddPathStringI
         34   21 0002B6BA GdipAlloc
         36   22 0000A59B GdipBeginContainer
         35   23 00060258 GdipBeginContainer2
         37   24 0000A30E GdipBeginContainerI
         38   25 0003C200 GdipBitmapGetPixel
         39   26 00041AE1 GdipBitmapLockBits
         40   27 00033F8B GdipBitmapSetPixel
         41   28 0009E7E9 GdipBitmapSetResolution
         42   29 00041B5F GdipBitmapUnlockBits
         43   2A 000963FE GdipClearPathMarkers
         44   2B 000A4F5F GdipCloneBitmapArea
         45   2C 0001903E GdipCloneBitmapAreaI
         46   2D 00099E7E GdipCloneBrush
         47   2E 0009C6D2 GdipCloneCustomLineCap
         48   2F 000A3E16 GdipCloneFont
         49   30 0000159F GdipCloneFontFamily
         50   31 0009DBB0 GdipCloneImage
         51   32 0009E87A GdipCloneImageAttributes
         52   33 0009813E GdipCloneMatrix
         53   34 00020C45 GdipClonePath
         54   35 0000DABD GdipClonePen
         55   36 00098A22 GdipCloneRegion
         56   37 00001B89 GdipCloneStringFormat
         57   38 0002928C GdipClosePathFigure
         58   39 00096379 GdipClosePathFigures
         59   3A 00098C8E GdipCombineRegionPath
         60   3B 00098B7E GdipCombineRegionRect
         61   3C 00098C47 GdipCombineRegionRectI
         62   3D 0002B09D GdipCombineRegionRegion
         63   3E 000A3EB2 GdipComment
         64   3F 0001919A GdipCreateAdjustableArrowCap
